experiment,fault,fault_type,mode,mode_name,seed,n_baseline,n_pre_test,n_post_test,baseline_fraction_of_pre,true_negatives,false_positives,false_negatives,true_positives,auc_roc,average_precision,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,mcc,sustained_detection,detection_delay_from_nominal_midpoint_s,median_index_pre,median_index_post
F2L,2,Falha de 20% em sensor de fase,L,IPPT (potencia limitada),13,177,178,354,0.49859154929577465,146,32,70,284,0.9013521234050657,0.9577296387978662,0.8022598870056498,0.7576202763965628,0.840409925875864,0.8202247191011236,0.7572386909052302,0.8696810486268332,0.8112423030533866,0.5980945309473036,True,1.73843020175027,0.6039990074664032,916.4251773123317
F2L,2,Falha de 20% em sensor de fase,L,IPPT (potencia limitada),29,177,178,354,0.49859154929577465,123,55,61,293,0.8942899765124103,0.9547620548905378,0.827683615819209,0.7848791471110098,0.8634526609600323,0.6910112359550562,0.6196942008429891,0.7542579244919259,0.7593474258871327,0.5145469830992713,True,1.73843020175027,0.5907392804860885,839.5507256311466
F2L,2,Falha de 20% em sensor de fase,L,IPPT (potencia limitada),42,177,178,354,0.49859154929577465,133,45,66,288,0.9010188535517044,0.9573441813665259,0.8135593220338984,0.769700837750366,0.8506856337658899,0.7471910112359551,0.678583139139175,0.8053549054118916,0.7803751666349268,0.5468050509459255,True,1.7584119794481596,0.637496894863042,1144.3327236366604
F2L,2,Falha de 20% em sensor de fase,L,IPPT (potencia limitada),71,177,178,354,0.49859154929577465,130,48,61,293,0.8985907446200723,0.956353970302116,0.827683615819209,0.7848791471110098,0.8634526609600323,0.7303370786516854,0.6607857436762845,0.7901565251099365,0.7790103472354473,0.5488681932923835,True,1.73843020175027,0.6536382412582276,1039.674845019057
F2L,2,Falha de 20% em sensor de fase,L,IPPT (potencia limitada),101,177,178,354,0.49859154929577465,134,44,66,288,0.8927188472037071,0.9544140528350668,0.8135593220338984,0.769700837750366,0.8506856337658899,0.7528089887640449,0.6845423062038145,0.810394330268867,0.7831841553989716,0.5517299228494179,True,1.73843020175027,0.5901113864668703,928.7519518861072
F2M,2,Falha de 20% em sensor de fase,M,MPPT (potencia maxima),13,180,180,359,0.5,179,1,73,286,0.9030795419374806,0.9602434856372606,0.7966573816155988,0.7519844173014559,0.8350488304764901,0.9944444444444445,0.9692069292336208,0.9990186339327839,0.8955509130300217,0.7477813768634957,True,1.47984740654766,0.19908123008777828,2958.0600303049146
F2M,2,Falha de 20% em sensor de fase,M,MPPT (potencia maxima),29,180,180,359,0.5,179,1,73,286,0.9069018879603836,0.9614377492462012,0.7966573816155988,0.7519844173014559,0.8350488304764901,0.9944444444444445,0.9692069292336208,0.9990186339327839,0.8955509130300217,0.7477813768634957,True,1.47984740654766,0.16695848595622886,3129.0001171721283
F2M,2,Falha de 20% em sensor de fase,M,MPPT (potencia maxima),42,180,180,359,0.5,179,1,73,286,0.9053543794490869,0.9610152797226386,0.7966573816155988,0.7519844173014559,0.8350488304764901,0.9944444444444445,0.9692069292336208,0.9990186339327839,0.8955509130300217,0.7477813768634957,True,1.47984740654766,0.23545473201237455,3690.1181502223294
F2M,2,Falha de 20% em sensor de fase,M,MPPT (potencia maxima),71,180,180,359,0.5,179,1,73,286,0.905849582172702,0.9609494069657465,0.7966573816155988,0.7519844173014559,0.8350488304764901,0.9944444444444445,0.9692069292336208,0.9990186339327839,0.8955509130300217,0.7477813768634957,True,1.47984740654766,0.17044328834744543,3430.8253835504606
F2M,2,Falha de 20% em sensor de fase,M,MPPT (potencia maxima),101,180,180,359,0.5,179,1,73,286,0.9007737542556484,0.9597336251014025,0.7966573816155988,0.7519844173014559,0.8350488304764901,0.9944444444444445,0.9692069292336208,0.9990186339327839,0.8955509130300217,0.7477813768634957,True,1.47984740654766,0.1799099634317453,3030.0750890895883
F3L,3,Afundamentos intermitentes de tensao,L,IPPT (potencia limitada),13,129,129,258,0.5,126,3,181,77,0.6814193858542155,0.8345194576202202,0.29844961240310075,0.24590423754949403,0.3569088522170965,0.9767441860465116,0.9338558951481141,0.9920598625674205,0.6375968992248062,0.3203532760849674,True,3.7196290321682,0.2396937597373676,0.3573390188931709
F3L,3,Afundamentos intermitentes de tensao,L,IPPT (potencia limitada),29,129,129,258,0.5,129,0,186,72,0.6649840754762334,0.8262152809922549,0.27906976744186046,0.22788539662472923,0.33673664408095666,1.0,0.9710823800431216,1.0,0.6395348837209303,0.33806170189140666,True,3.7196290321682,0.24397044671475368,0.3294971669828355
F3L,3,Afundamentos intermitentes de tensao,L,IPPT (potencia limitada),42,129,129,258,0.5,127,2,181,77,0.6905834985878253,0.8399918592697542,0.29844961240310075,0.24590423754949403,0.3569088522170965,0.9844961240310077,0.9452333688810886,0.9957379296103084,0.6414728682170543,0.33091690849635524,True,3.7196290321682,0.3063287916229784,0.4324294298121104
F3L,3,Afundamentos intermitentes de tensao,L,IPPT (potencia limitada),71,129,129,258,0.5,128,1,184,74,0.6828916531458445,0.8360666597825638,0.2868217054263566,0.23507852233170567,0.3448199379983421,0.9922480620155039,0.9573965598582397,0.9986302794090196,0.6395348837209303,0.3328201177351375,True,3.7196290321682,0.26661327798813683,0.39075634675950144
F3L,3,Afundamentos intermitentes de tensao,L,IPPT (potencia limitada),101,129,129,258,0.5,128,1,186,72,0.6784748512709573,0.8311992869790932,0.27906976744186046,0.22788539662472923,0.33673664408095666,0.9922480620155039,0.9573965598582397,0.9986302794090196,0.6356589147286822,0.32693151582096674,True,3.7196290321682,0.22770446008913217,0.32262526491091514
F3M,3,Afundamentos intermitentes de tensao,M,MPPT (potencia maxima),13,87,87,174,0.5,86,1,160,14,0.5266217465979655,0.7285878316772711,0.08045977011494253,0.0485310998138549,0.13051297141589013,0.9885057471264368,0.9377280216427621,0.9979680922624077,0.5344827586206896,0.13968605915391563,True,3.21967668463189,0.18891332114527207,0.20778868024666536
F3M,3,Afundamentos intermitentes de tensao,M,MPPT (potencia maxima),29,87,87,174,0.5,87,0,161,13,0.534218522922447,0.7268106434567851,0.07471264367816093,0.04417947281230249,0.12361862679045275,1.0,0.9577124930558795,0.9999999999999999,0.5373563218390804,0.16189403145068332,True,3.21967668463189,0.2110836290668396,0.22198845098219921
F3M,3,Afundamentos intermitentes de tensao,M,MPPT (potencia maxima),42,87,87,174,0.5,86,1,159,15,0.5220636808032766,0.7203065941081956,0.08620689655172414,0.05293752496662512,0.13735251789010972,0.9885057471264368,0.9377280216427621,0.9979680922624077,0.5373563218390804,0.14682003422210332,True,3.21967668463189,0.23775273905413072,0.22373258622957143
F3M,3,Afundamentos intermitentes de tensao,M,MPPT (potencia maxima),71,87,87,174,0.5,86,1,156,18,0.5572070286695733,0.7426298654571956,0.10344827586206896,0.06644267117224241,0.15758528656546178,0.9885057471264368,0.9377280216427621,0.9979680922624077,0.5459770114942529,0.16684780645131764,True,3.21967668463189,0.17103265955471775,0.18436718730104382
F3M,3,Afundamentos intermitentes de tensao,M,MPPT (potencia maxima),101,87,87,174,0.5,87,0,161,13,0.530321046373365,0.7249175800900735,0.07471264367816093,0.04417947281230249,0.12361862679045275,1.0,0.9577124930558795,0.9999999999999999,0.5373563218390804,0.16189403145068332,True,3.21967668463189,0.17687315604766174,0.2029059926880153
F4L,4,Sombreamento parcial nao uniforme (10-20%),L,IPPT (potencia limitada),13,180,180,359,0.5,180,0,358,1,0.5618229650263077,0.7013375391233877,0.002785515320334262,0.0004918811981754609,0.015607323230337235,1.0,0.9791045020783868,1.0,0.5013927576601671,0.03052796748270094,False,,0.13644165331574293,0.15420128722781293
F4L,4,Sombreamento parcial nao uniforme (10-20%),L,IPPT (potencia limitada),29,180,180,359,0.5,180,0,358,1,0.5594243268337976,0.6929250140445429,0.002785515320334262,0.0004918811981754609,0.015607323230337235,1.0,0.9791045020783868,1.0,0.5013927576601671,0.03052796748270094,False,,0.13463201056616708,0.1604051328976333
