experiment,fault,fault_type,mode,mode_name,method,seed,n_baseline,n_pre_test,n_post_test,baseline_fraction_of_pre,true_negatives,false_positives,false_negatives,true_positives,auc_roc,average_precision,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,mcc,sustained_detection,detection_delay_from_nominal_midpoint_s,median_index_pre,median_index_post
F5L,5,Circuito aberto em 15% do arranjo PV,L,IPPT (potencia limitada),pca,,178,179,357,0.49859943977591037,176,3,0,357,1.0,1.0,1.0,0.9893541644764191,1.0,0.9832402234636871,0.9518908366308748,0.9942840687534379,0.9916201117318435,0.9874444566327887,True,0.0,0.1912365510707511,271.8175718784805
F5M,5,Circuito aberto em 15% do arranjo PV,M,MPPT (potencia maxima),autoencoder_v2,42.0,180,180,359,0.5,173,7,6,353,0.9950170225936242,0.9978123357056337,0.9832869080779945,0.9640222446127882,0.9923183045841477,0.9611111111111111,0.9219152218849264,0.981036707809586,0.9721990095945527,0.9457160910366534,True,0.11998802383620077,0.33482281860963525,18175.103470106318
F5M,5,Circuito aberto em 15% do arranjo PV,M,MPPT (potencia maxima),autoencoder_ensemble,,180,180,359,0.5,175,5,6,353,0.9953729495512225,0.9979543087732743,0.9832869080779945,0.9640222446127882,0.9923183045841477,0.9722222222222222,0.936631929551566,0.9880778779669105,0.9777545651501083,0.9541958367672546,True,0.11998802383620077,0.3107689299232606,26506.372538017895
F5M,5,Circuito aberto em 15% do arranjo PV,M,MPPT (potencia maxima),pca,,180,180,359,0.5,175,5,6,353,0.9939028164654906,0.9973962182404109,0.9832869080779945,0.9640222446127882,0.9923183045841477,0.9722222222222222,0.936631929551566,0.9880778779669105,0.9777545651501083,0.9541958367672546,True,0.11998802383620077,0.23137384266127606,2726.6633788916806
F6L,6,Ganho PI do MPPT/IPPT reduzido em 20%,L,IPPT (potencia limitada),autoencoder_v2,42.0,180,180,359,0.5,170,10,326,33,0.6789538842463634,0.7704671634259623,0.09192200557103064,0.06620240971577014,0.12628237150987195,0.9444444444444444,0.9007683865825439,0.9695467263760221,0.5181832250077375,0.06330081759262002,True,3.9995580796787804,0.39840335555488393,0.5531735022158879
F6L,6,Ganho PI do MPPT/IPPT reduzido em 20%,L,IPPT (potencia limitada),autoencoder_ensemble,,180,180,359,0.5,172,8,340,19,0.6716651191581553,0.7545412517400362,0.052924791086350974,0.03414056926230104,0.08117552211459693,0.9555555555555556,0.9147630842357073,0.9773099065468231,0.5042401733209533,0.018334970649276656,False,,0.346401831428078,0.4737076834850563
F6L,6,Ganho PI do MPPT/IPPT reduzido em 20%,L,IPPT (potencia limitada),pca,,180,180,359,0.5,178,2,350,9,0.710182606004333,0.7815654902117531,0.025069637883008356,0.013244174581490527,0.04695142404630452,0.9888888888888889,0.9603989991004155,0.9969476251540074,0.5069792633859487,0.04655965534925724,False,,0.2152748437811962,0.33165638083424426
F6M,6,Ganho PI do MPPT/IPPT reduzido em 20%,M,MPPT (potencia maxima),autoencoder_v2,42.0,180,180,359,0.5,172,8,314,45,0.7108325595790778,0.8077168632016946,0.12534818941504178,0.09501502649514518,0.16361434602942046,0.9555555555555556,0.9147630842357073,0.9773099065468231,0.5404518724852987,0.1281433379751266,True,5.13946882174428,0.4197357848649248,0.6223851983579468
F6M,6,Ganho PI do MPPT/IPPT reduzido em 20%,M,MPPT (potencia maxima),autoencoder_ensemble,,180,180,359,0.5,178,2,340,19,0.7232745280099041,0.8184996608262729,0.052924791086350974,0.03414056926230104,0.08117552211459693,0.9888888888888889,0.9603989991004155,0.9969476251540074,0.52090683998762,0.10191247307803876,False,,0.366916851284234,0.5393715765118865
F6M,6,Ganho PI do MPPT/IPPT reduzido em 20%,M,MPPT (potencia maxima),pca,,180,180,359,0.5,179,1,351,8,0.7724079232435778,0.8420345762016325,0.022284122562674095,0.011334029176124538,0.04334952017676022,0.9944444444444445,0.9692069292336208,0.9990186339327839,0.5083642835035593,0.06157196695081175,False,,0.2609582821891406,0.4433851592856495
F7L,7,Constante de tempo PI elevada em 20%,L,IPPT (potencia limitada),autoencoder_v2,42.0,180,180,359,0.5,169,11,283,76,0.8003249767873724,0.8441458888880508,0.2116991643454039,0.1726073077893875,0.2568955922573972,0.9388888888888889,0.8938988876150229,0.9655372864315612,0.5752940266171463,0.19303904127977956,False,,0.2989330463080697,0.7708986811046837
F7L,7,Constante de tempo PI elevada em 20%,L,IPPT (potencia limitada),autoencoder_ensemble,,180,180,359,0.5,171,9,322,37,0.795187248529867,0.8390353264497297,0.10306406685236769,0.07570137043222219,0.13883160789306107,0.95,0.9077191903535553,0.9734748615169928,0.5265320334261838,0.08957393077638073,False,,0.24818513053554894,0.6685731540620107
F7L,7,Constante de tempo PI elevada em 20%,L,IPPT (potencia limitada),pca,,180,180,359,0.5,173,7,343,16,0.8244351593933766,0.8650252723594605,0.04456824512534819,0.027616813846542607,0.0711631297056245,0.9611111111111111,0.9219152218849264,0.981036707809586,0.5028396781182297,0.013252378114167653,False,,0.14949104904860128,0.5751661112422878
F7M,7,Constante de tempo PI elevada em 20%,M,MPPT (potencia maxima),autoencoder_v2,42.0,180,180,359,0.5,166,14,189,170,0.8019808108944599,0.8911025919895241,0.4735376044568245,0.42244215368733457,0.5251933782010177,0.9222222222222223,0.8736927799483827,0.9531065773622551,0.6978799133395234,0.39363354006279616,True,3.93959268846198,0.36065158805482456,0.933744228970978
F7M,7,Constante de tempo PI elevada em 20%,M,MPPT (potencia maxima),autoencoder_ensemble,,180,180,359,0.5,174,6,220,139,0.8154441349427421,0.8994936565632127,0.3871866295264624,0.3382464421525797,0.4385155622135535,0.9666666666666667,0.9291956595913273,0.9846352090151671,0.6769266480965646,0.3763349997613453,True,3.97958838362438,0.3196772293100689,0.8020996777061494
F7M,7,Constante de tempo PI elevada em 20%,M,MPPT (potencia maxima),pca,,180,180,359,0.5,177,3,222,137,0.8363819251005881,0.9145096286422714,0.3816155988857939,0.33286913171463084,0.4328687741016818,0.9833333333333333,0.952151771962928,0.9943159133795125,0.6824744661095636,0.3925229991260221,True,3.93959268846198,0.25431427352022873,0.6480433862950473
