falha,falha_id,npr,severidade,f1,auc_roc,recall,precision,accuracy,auc_pr,average_precision,average_precision_ci_low,average_precision_ci_high,specificity,fpr,fnr,n_neg,n_pos,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,auc_roc_ci_low,auc_roc_ci_high,threshold_method,score_method,score_threshold,threshold_effective_percentile,threshold_source,evidence_level,precision_raro,f1_raro
IGBT,igbt,90,0.3,0.8174273858921162,0.9726573878243691,0.701067615658363,0.9800995024875622,0.8434163701067615,0.9726082131152514,0.9726082131152514,0.9620881902527424,0.9818889440204597,0.9857651245551602,0.014234875444839857,0.29893238434163705,281,281,0.6451234239109244,0.7515884889821097,0.9639771162934658,0.9944507794569619,0.9615094793632301,0.9818650979597523,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.7216117216117216,0.7111913357400721
IGBT,igbt,90,0.5,0.9929328621908127,0.9992527956839452,1.0,0.9859649122807017,0.9928825622775801,0.9991874054016524,0.9991874054016524,0.997234082484861,1.0,0.9857651245551602,0.014234875444839857,0.0,281,281,0.9865136948932973,0.9999999999999998,0.9639771162934658,0.9944507794569619,0.9975050974531731,1.0,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.7871148459383754,0.8808777429467085
IGBT,igbt,90,0.7,0.9929328621908127,1.0,1.0,0.9859649122807017,0.9928825622775801,1.0,1.0,0.9999999999999998,1.0,0.9857651245551602,0.014234875444839857,0.0,281,281,0.9865136948932973,0.9999999999999998,0.9639771162934658,0.9944507794569619,0.9999999999999999,1.0,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.7871148459383754,0.8808777429467085
IGBT,igbt,90,1.0,0.9929328621908127,1.0,1.0,0.9859649122807017,0.9928825622775801,1.0,1.0,0.9999999999999999,1.0,0.9857651245551602,0.014234875444839857,0.0,281,281,0.9865136948932973,0.9999999999999998,0.9639771162934658,0.9944507794569619,0.9999999999999999,1.0,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.7871148459383754,0.8808777429467085
Fusível AC,fusivel_ac,30,0.05,0.02768166089965398,0.4844923443218805,0.014234875444839857,0.5,0.5,0.4946363222650221,0.4946363222650221,0.4597624511694051,0.5417669092663555,0.9857651245551602,0.014234875444839857,0.9857651245551602,281,281,0.005549220543038051,0.036022883706534156,0.9639771162934658,0.9944507794569619,0.4347643140284444,0.5382334316941275,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.05,0.022160664819944602
Fusível AC,fusivel_ac,30,0.1,0.02768166089965398,0.48118691505933303,0.014234875444839857,0.5,0.5,0.4915438849283205,0.4915438849283205,0.46165350142947087,0.5405976542553054,0.9857651245551602,0.014234875444839857,0.9857651245551602,281,281,0.005549220543038051,0.036022883706534156,0.9639771162934658,0.9944507794569619,0.43541273540102077,0.530422930307367,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.05,0.022160664819944602
Fusível AC,fusivel_ac,30,0.2,0.02768166089965398,0.5488785603019212,0.014234875444839857,0.5,0.5,0.5410087462229694,0.5410087462229694,0.5042076647506607,0.5916943216146308,0.9857651245551602,0.014234875444839857,0.9857651245551602,281,281,0.005549220543038051,0.036022883706534156,0.9639771162934658,0.9944507794569619,0.5013706133407632,0.5954515520320157,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.05,0.022160664819944602
Fusível AC,fusivel_ac,30,0.3,0.06779661016949153,0.7004470561416396,0.03558718861209965,0.7142857142857143,0.5106761565836299,0.6932875503295137,0.6932875503295137,0.64757029760652,0.7529576779835863,0.9857651245551602,0.014234875444839857,0.9644128113879004,281,281,0.019443085379248454,0.06425771758462827,0.9639771162934658,0.9944507794569619,0.6567473182963741,0.74665531084966,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.11627906976744189,0.054495912806539516
Fusível AC,fusivel_ac,30,0.5,0.6682242990654206,0.92635604918884,0.5088967971530249,0.9727891156462585,0.7473309608540926,0.9324122306824413,0.9324122306824413,0.9140088899151528,0.9518482628970575,0.9857651245551602,0.014234875444839857,0.49110320284697506,281,281,0.45072060505707895,0.5668330194072145,0.9639771162934658,0.9944507794569619,0.9073131039373868,0.9470032674358227,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.6529680365296804,0.5720000000000001
Fusível AC,fusivel_ac,30,0.7,0.9405204460966543,0.9935157862742368,0.900355871886121,0.9844357976653697,0.9430604982206405,0.9927207456427456,0.9927207456427456,0.9855899174004817,0.9976210664865316,0.9857651245551602,0.014234875444839857,0.09964412811387902,281,281,0.8597559978064553,0.9301571030867544,0.9639771162934658,0.9944507794569619,0.9876755613530731,0.9976010308886665,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.7689969604863223,0.8295081967213114
Fusível AC,fusivel_ac,30,1.0,0.9929328621908127,0.9999873355200669,1.0,0.9859649122807017,0.9928825622775801,0.9999873804295702,0.9999873804295702,0.9999248157987067,1.0,0.9857651245551602,0.014234875444839857,0.0,281,281,0.9865136948932973,0.9999999999999998,0.9639771162934658,0.9944507794569619,0.9999240131204012,1.0,p99,mse,0.8577015399932861,99.0,bloco_calibracao_temporal,E2,0.7871148459383754,0.8808777429467085
