model,component,magnitude,empirical_cdf,log_magnitude,weibull_y,position_method
ae_lstm,igbt,0.27,0.4342572850035546,-1.3093333199837622,-0.5627930553856102,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.28,0.47690120824449295,-1.2729656758128873,-0.43388782613222043,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.29,0.496446339729923,-1.2378743560016174,-0.3767829064973659,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.3,0.5124378109452749,-1.2039728043259361,-0.3308158629636819,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.31,0.535536602700783,-1.171182981502945,-0.2654346921446803,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.32,0.5746268656716429,-1.1394342831883648,-0.1569011714947517,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.33,0.6297085998578544,-1.1086626245216111,-0.006556431137176776,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.34,0.6918976545842227,-1.0788096613719298,0.16324343873728647,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.35000000000000003,0.7558635394456299,-1.0498221244986776,0.34360952366316927,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.36,0.8144989339019197,-1.0216512475319814,0.5215843306417565,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.37,0.8660270078180532,-0.9942522733438669,0.6981929543189009,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.38,0.905117270788913,-0.9675840262617056,0.8565889552965215,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.39,0.926439232409382,-0.941608539858445,0.9592136006648637,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.4,0.9424307036247337,-0.916290731874155,1.0489898441040995,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.41000000000000003,0.9619758351101636,-0.8915981192837835,1.1846472845788507,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.42,0.9815209665955935,-0.8675005677047231,1.384071522216218,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.43,0.990405117270789,-0.843970070294529,1.536119708383435,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.44,0.9939587775408671,-0.8209805520698302,1.631032833321559,modified_KM_NIST_grouped_ties
ae_lstm,igbt,0.45,0.9975124378109453,-0.7985076962177716,1.7911679757667909,modified_KM_NIST_grouped_ties
ae_denso,fusivel_ac,0.02,0.009594882729211007,-3.912023005428146,-4.641708639609736,modified_KM_NIST_grouped_ties
