analysis,model,model_name,seed,is_reference,experiment,fault,fault_type,mode,mode_name,sequence_length,decision_target,context_policy,uses_future_windows,crosses_experiment_or_split,transition_post_windows,n_pre_fault_test,n_post_fault_evaluated,post_fault_context_reset,context_fully_post_fault,score_threshold,score_top_k,auc_pr,auc_roc,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,mcc,f1,precision,precision_defined,recall,false_positive_rate,tn,fp,fn,tp
sustained,ae_lstm,AE-LSTM,42,True,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,315,False,True,17.381608963012695,5,0.9333227955072471,0.8521344769791974,0.7015873015873015,0.6488759764791021,0.7494411070950906,0.8571428571428571,0.7947569409876509,0.9028830873324754,0.7793650793650793,0.5288486783239984,0.7906976744186046,0.9057377049180327,True,0.7015873015873015,0.14285714285714285,138,23,94,221
post_fault_reset,ae_lstm,AE-LSTM,42,True,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,True,True,17.381608963012695,5,0.9296181107641726,0.8417692218664403,0.6863354037267081,0.6337121835685221,0.7345650775090325,0.8571428571428571,0.7947569409876509,0.9028830873324754,0.7717391304347826,0.5124236754718031,0.7809187279151943,0.9057377049180327,True,0.6863354037267081,0.14285714285714285,138,23,101,221
current_full,ae_lstm,AE-LSTM,71,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,False,False,20.02474594116211,5,0.9315037525119559,0.8466687242004554,0.6987577639751553,0.646543766698249,0.7462853117844759,0.8198757763975155,0.7532852509705031,0.8715575570031752,0.7593167701863355,0.48962870835865346,0.78125,0.8858267716535433,True,0.6987577639751553,0.18012422360248448,132,29,97,225
transition,ae_lstm,AE-LSTM,71,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,7,False,False,20.02474594116211,5,0.031297766365704735,0.3842058562555457,0.0,5.551115123125783e-17,0.35433043506668743,0.8198757763975155,0.7532852509705031,0.8715575570031752,0.40993788819875776,-0.09524181889439202,0.0,0.0,True,0.0,0.18012422360248448,132,29,7,0
sustained,ae_lstm,AE-LSTM,71,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,315,False,True,20.02474594116211,5,0.9351681509065559,0.8569456768214533,0.7142857142857143,0.6620503879291146,0.7613575355552635,0.8198757763975155,0.7532852509705031,0.8715575570031752,0.7670807453416149,0.5065793058852476,0.7908611599297012,0.8858267716535433,True,0.7142857142857143,0.18012422360248448,132,29,90,225
post_fault_reset,ae_lstm,AE-LSTM,71,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,True,True,20.02474594116211,5,0.9314275191426524,0.8465144091663132,0.6987577639751553,0.646543766698249,0.7462853117844759,0.8198757763975155,0.7532852509705031,0.8715575570031752,0.7593167701863355,0.48962870835865346,0.78125,0.8858267716535433,True,0.6987577639751553,0.18012422360248448,132,29,97,225
current_full,ae_lstm,AE-LSTM,101,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,False,False,20.34963035583496,5,0.9316437383509689,0.8461479109602253,0.6770186335403726,0.6241156940756879,0.7257477039479888,0.8881987577639752,0.8302036055575723,0.9281007730512607,0.7826086956521738,0.5330303183213663,0.7813620071684588,0.923728813559322,True,0.6770186335403726,0.11180124223602485,143,18,104,218
transition,ae_lstm,AE-LSTM,101,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,7,False,False,20.34963035583496,5,0.03248961622852913,0.40905057675244005,0.0,5.551115123125783e-17,0.35433043506668743,0.8881987577639752,0.8302036055575723,0.9281007730512607,0.4440993788819876,-0.07223151185146152,0.0,0.0,True,0.0,0.11180124223602485,143,18,7,0
sustained,ae_lstm,AE-LSTM,101,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,315,False,True,20.34963035583496,5,0.9351278231358633,0.8558611850537317,0.692063492063492,0.6390251093781741,0.7404738442633797,0.8881987577639752,0.8302036055575723,0.9281007730512607,0.7901311249137336,0.5490740389793722,0.7912885662431942,0.923728813559322,True,0.692063492063492,0.11180124223602485,143,18,97,218
post_fault_reset,ae_lstm,AE-LSTM,101,False,F1L,1,Falha completa de um IGBT,L,IPPT (potência limitada),8,W_t,continuous_causal_within_experiment,False,False,7,161,322,True,True,20.34963035583496,5,0.9318721404099304,0.8467265923382586,0.6770186335403726,0.6241156940756879,0.7257477039479888,0.8881987577639752,0.8302036055575723,0.9281007730512607,0.7826086956521738,0.5330303183213663,0.7813620071684588,0.923728813559322,True,0.6770186335403726,0.11180124223602485,143,18,104,218
