model,model_name,seed,is_reference,score_top_k,threshold_requested_percentile,threshold_method,score_threshold,threshold_effective_percentile,threshold_selected_rank,threshold_selected_order_index,calibration_n,threshold_percentile_resolution,healthy_test_false_positive_rate,healthy_test_n,fault_experiment_count,valid_fault_trial_count,calibration_role,fault_evaluation_role,uses_fault_data_for_selection,is_historical_reference_configuration,macro_recall,macro_recall_n_valid,macro_f1,macro_f1_n_valid,macro_precision,macro_precision_n_valid
ae_lstm,AE-LSTM,29,False,10,99.0,healthy_percentile_higher,9.015302658081055,99.04761904761905,208,207,210,0.47619047619047616,0.02491103202846975,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3982069578741494,14,0.44663486246737916,14,0.9065042384064653,11
ae_lstm,AE-LSTM,29,False,10,99.5,healthy_percentile_higher,9.023622512817383,99.52380952380952,209,208,210,0.47619047619047616,0.02491103202846975,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3982069578741494,14,0.44663486246737916,14,0.9065042384064653,11
ae_lstm,AE-LSTM,29,False,10,99.9,healthy_percentile_higher,10.83846378326416,100.0,210,209,210,0.47619047619047616,0.021352313167259787,281,14,10,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3879446151398502,14,0.4363732451419887,14,0.8553950659995742,10
ae_lstm,AE-LSTM,29,False,20,99.0,healthy_percentile_higher,4.5182390213012695,99.04761904761905,208,207,210,0.47619047619047616,0.02491103202846975,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.39880666425970157,14,0.44725190139548093,14,0.9130015953842091,11
ae_lstm,AE-LSTM,29,False,20,99.5,healthy_percentile_higher,4.551395416259766,99.52380952380952,209,208,210,0.47619047619047616,0.02491103202846975,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3980079924941255,14,0.4465257564187324,14,0.9076968214714953,11
ae_lstm,AE-LSTM,29,False,20,99.9,healthy_percentile_higher,5.45419979095459,100.0,210,209,210,0.47619047619047616,0.017793594306049824,281,14,10,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3877456497598263,14,0.43613976825650186,14,0.8549000905623535,10
ae_lstm,AE-LSTM,42,True,5,99.0,healthy_percentile_higher,15.196528434753418,99.04761904761905,208,207,210,0.47619047619047616,0.028469750889679714,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3907895261329873,14,0.4356215578222947,14,0.9444816658596924,11
ae_lstm,AE-LSTM,42,True,5,99.5,healthy_percentile_higher,16.308286666870117,99.52380952380952,209,208,210,0.47619047619047616,0.017793594306049824,281,14,10,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38956725088032745,14,0.4349066642252221,14,0.9448115503033667,10
ae_lstm,AE-LSTM,42,True,5,99.9,healthy_percentile_higher,18.583059310913086,100.0,210,209,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,True,0.3867019071334043,14,0.43306884235269816,14,0.9423827768655355,9
ae_lstm,AE-LSTM,42,True,10,99.0,healthy_percentile_higher,7.832327365875244,99.04761904761905,208,207,210,0.47619047619047616,0.028469750889679714,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3911902671385156,14,0.43568541318875564,14,0.9431355478138567,11
ae_lstm,AE-LSTM,42,True,10,99.5,healthy_percentile_higher,8.336726188659668,99.52380952380952,209,208,210,0.47619047619047616,0.014234875444839857,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3901669572658796,14,0.4355797034138013,14,0.9501961944752121,11
ae_lstm,AE-LSTM,42,True,10,99.9,healthy_percentile_higher,9.457589149475098,100.0,210,209,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38710264813893264,14,0.4334531764157005,14,0.9435815045348289,9
ae_lstm,AE-LSTM,42,True,20,99.0,healthy_percentile_higher,3.9516594409942627,99.04761904761905,208,207,210,0.47619047619047616,0.028469750889679714,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.39139204276402006,14,0.43544397875670093,14,0.9420934303222276,11
ae_lstm,AE-LSTM,42,True,20,99.5,healthy_percentile_higher,4.177246570587158,99.52380952380952,209,208,210,0.47619047619047616,0.017793594306049824,281,14,11,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.39076947389691236,14,0.43593477496768474,14,0.9478449082237966,11
ae_lstm,AE-LSTM,42,True,20,99.9,healthy_percentile_higher,4.768661975860596,100.0,210,209,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.38750619938994146,14,0.4335009851514998,14,0.9407578294161153,9
ae_lstm,AE-LSTM,71,False,5,99.0,healthy_percentile_higher,22.65700340270996,99.04761904761905,208,207,210,0.47619047619047616,0.010676156583629894,281,14,9,healthy_calibration_only,post_freeze_descriptive_only,False,False,0.3841831486924567,14,0.4327158747342387,14,0.957554900032776,9
