model,model_name,seed,is_reference,experiment,fault,fault_type,mode,mode_name,n_commissioning,n_pre_fault_test,n_post_fault_test,fault_boundary_method,score_threshold,score_top_k,threshold_requested_percentile,threshold_effective_percentile,auc_pr,auc_roc,sensitivity,sensitivity_ci95_low,sensitivity_ci95_high,specificity,specificity_ci95_low,specificity_ci95_high,balanced_accuracy,mcc,f1,precision,precision_defined,recall,false_positive_rate,tn,fp,fn,tp
ae_lstm,AE-LSTM,13,False,F1M,1,Falha total em um IGBT,M,MPPT (potência máxima),173,174,347,nominal_mid_record,25.407878875732422,5,99.9,100.0,0.9593605638014615,0.9023650998708139,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,0.8788368336025848,1.0,True,0.7838616714697406,0.0,174,0,75,272
ae_lstm,AE-LSTM,29,False,F1M,1,Falha total em um IGBT,M,MPPT (potência máxima),173,174,347,nominal_mid_record,21.43026351928711,5,99.9,100.0,0.9610868169018385,0.9058100632680779,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,0.8788368336025848,1.0,True,0.7838616714697406,0.0,174,0,75,272
ae_lstm,AE-LSTM,42,True,F1M,1,Falha total em um IGBT,M,MPPT (potência máxima),173,174,347,nominal_mid_record,18.583059310913086,5,99.9,100.0,0.9582133997681724,0.8996488787306636,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,0.8788368336025848,1.0,True,0.7838616714697406,0.0,174,0,75,272
ae_lstm,AE-LSTM,71,False,F1M,1,Falha total em um IGBT,M,MPPT (potência máxima),173,174,347,nominal_mid_record,23.55827522277832,5,99.9,100.0,0.9616859875747794,0.9079300407433171,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,0.8788368336025848,1.0,True,0.7838616714697406,0.0,174,0,75,272
ae_lstm,AE-LSTM,101,False,F1M,1,Falha total em um IGBT,M,MPPT (potência máxima),173,174,347,nominal_mid_record,20.811450958251953,5,99.9,100.0,0.9597250757269996,0.903342276988307,0.7838616714697406,0.7375712596662795,0.8239359255511937,1.0,0.9783995315481122,1.0,0.8919308357348703,0.7401072613996199,0.8788368336025848,1.0,True,0.7838616714697406,0.0,174,0,75,272
ae_denso,Autoencoder Denso,13,False,F2L,2,Falha de 20% em sensor de fase,L,IPPT (potência limitada),177,178,354,nominal_mid_record,6.9307708740234375,5,99.9,100.0,0.9554933683190376,0.8972576652066273,0.7542372881355932,0.7068164089441729,0.7961996490419805,1.0,0.978874681023748,0.9999999999999999,0.8771186440677966,0.7117722693049056,0.8599033816425121,1.0,True,0.7542372881355932,0.0,178,0,87,267
ae_denso,Autoencoder Denso,29,False,F2L,2,Falha de 20% em sensor de fase,L,IPPT (potência limitada),177,178,354,nominal_mid_record,4.722944259643555,5,99.9,100.0,0.9559328638952541,0.8984796546689519,0.7824858757062146,0.7366009873136063,0.8223057437821195,0.8764044943820225,0.8199603941531208,0.9169452645950942,0.8294451850441186,0.6266300790230487,0.8483920367534457,0.9264214046822743,True,0.7824858757062146,0.12359550561797752,156,22,77,277
ae_denso,Autoencoder Denso,42,True,F2L,2,Falha de 20% em sensor de fase,L,IPPT (potência limitada),177,178,354,nominal_mid_record,5.104478359222412,5,99.9,100.0,0.9555767839553888,0.8977655049831779,0.7655367231638418,0.7186978817879227,0.8066744454420597,0.9438202247191011,0.8996874091963403,0.9692013526112562,0.8546784739414715,0.6704809427740961,0.8535433070866142,0.9644128113879004,True,0.7655367231638418,0.056179775280898875,168,10,83,271
ae_denso,Autoencoder Denso,71,False,F2L,2,Falha de 20% em sensor de fase,L,IPPT (potência limitada),177,178,354,nominal_mid_record,5.563272953033447,5,99.9,100.0,0.9561754664448152,0.8990192344315369,0.7740112994350282,0.7276369390934678,0.8145025900693863,0.9550561797752809,0.9138329386285308,0.9770530070222961,0.8645337396051546,0.6892627369119426,0.8616352201257862,0.9716312056737588,True,0.7740112994350282,0.0449438202247191,170,8,80,274
ae_denso,Autoencoder Denso,101,False,F2L,2,Falha de 20% em sensor de fase,L,IPPT (potência limitada),177,178,354,nominal_mid_record,5.649452209472656,5,99.9,100.0,0.956041680257818,0.8987653145432616,0.7740112994350282,0.7276369390934678,0.8145025900693863,0.9382022471910112,0.8927440421782473,0.965146127707734,0.8561067733130197,0.673830950886541,0.8575899843505478,0.9614035087719298,True,0.7740112994350282,0.06179775280898876,167,11,80,274
ae_lstm,AE-LSTM,13,False,F2L,2,Falha de 20% em sensor de fase,L,IPPT (potência limitada),177,178,354,nominal_mid_record,25.407878875732422,5,99.9,100.0,0.9544703000745658,0.8923855773503458,0.7542372881355932,0.7068164089441729,0.7961996490419805,1.0,0.978874681023748,0.9999999999999999,0.8771186440677966,0.7117722693049056,0.8599033816425121,1.0,True,0.7542372881355932,0.0,178,0,87,267
