seed,is_reference,analysis,metric,difference_lstm_minus_dense,ci95_low,ci95_high,n_paired_experiments,n_valid_paired_experiments,bootstrap_resamples,bootstrap_unit
101,False,post_fault_reset,balanced_accuracy,-0.0019502433574796038,-0.0077464495705117185,0.0016939903293196374,14,14,20000,paired_experiment
101,False,post_fault_reset,mcc,-0.001715490269539754,-0.018196833250404002,0.013746019510770926,14,14,20000,paired_experiment
101,False,sustained,recall,0.002646658611047246,-0.002035068677719982,0.008760435992578853,14,14,20000,paired_experiment
101,False,sustained,f1,0.0015958864460333514,-0.004783609459677438,0.010345724881665989,14,14,20000,paired_experiment
101,False,sustained,precision,0.06112813370178619,-0.02013711686255997,0.20144465276507528,14,9,20000,paired_experiment
101,False,sustained,auc_roc,-0.030564006045169925,-0.052306612475898524,-0.012500637846938072,14,14,20000,paired_experiment
101,False,sustained,auc_pr,-0.019965817994814585,-0.035888829437324875,-0.006263841867799293,14,14,20000,paired_experiment
101,False,sustained,false_positive_rate,0.006289247738260582,-0.004394048540680893,0.02286962372029509,14,14,20000,paired_experiment
101,False,sustained,specificity,-0.006289247738260577,-0.022867183260295472,0.004398482343997391,14,14,20000,paired_experiment
101,False,sustained,sensitivity,0.002646658611047246,-0.002035068677719982,0.008731396999459982,14,14,20000,paired_experiment
101,False,sustained,balanced_accuracy,-0.0018212945636066704,-0.007594423174205596,0.0019050705079166183,14,14,20000,paired_experiment
101,False,sustained,mcc,-0.0014658681151019984,-0.018402893652074512,0.013866892834094369,14,14,20000,paired_experiment
101,False,transition,recall,-0.01020408163265306,-0.030612244897959183,0.0,14,14,20000,paired_experiment
101,False,transition,f1,-0.0027568922305764416,-0.022556390977443608,0.014285714285714282,14,14,20000,paired_experiment
101,False,transition,precision,0.010416666666666668,-0.0625,0.09375,14,4,20000,paired_experiment
101,False,transition,auc_roc,-0.010334549329622198,-0.05610178931518147,0.0348050521820838,14,14,20000,paired_experiment
101,False,transition,auc_pr,0.0007558992587395343,-0.007478932702217518,0.01018072629195286,14,14,20000,paired_experiment
101,False,transition,false_positive_rate,0.006289247738260582,-0.004396265442339136,0.02251472343578597,14,14,20000,paired_experiment
101,False,transition,specificity,-0.006289247738260577,-0.022485950902099965,0.004396265442339136,14,14,20000,paired_experiment
101,False,transition,sensitivity,-0.01020408163265306,-0.030612244897959183,0.0,14,14,20000,paired_experiment
101,False,transition,balanced_accuracy,-0.008246664685456817,-0.02020090168069457,0.0007936507936507908,14,14,20000,paired_experiment
101,False,transition,mcc,-0.005255795857715593,-0.025554581431779095,0.012529479747615703,14,14,20000,paired_experiment
