model,component,component_name,npr,magnitude,detections,n_trajectories,detection_probability,ci95_low,ci95_high
ae_denso,contator_ac,Contator AC,315,0.81,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.81,280,281,0.99644128113879,0.9801207228327832,0.9993715222747969
ae_denso,contator_ac,Contator AC,315,0.8200000000000001,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.8200000000000001,280,281,0.99644128113879,0.9801207228327832,0.9993715222747969
ae_denso,contator_ac,Contator AC,315,0.8300000000000001,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.8300000000000001,280,281,0.99644128113879,0.9801207228327832,0.9993715222747969
ae_denso,contator_ac,Contator AC,315,0.84,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.84,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,contator_ac,Contator AC,315,0.85,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.85,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,contator_ac,Contator AC,315,0.86,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.86,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,contator_ac,Contator AC,315,0.87,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.87,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,contator_ac,Contator AC,315,0.88,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.88,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,contator_ac,Contator AC,315,0.89,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.89,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,contator_ac,Contator AC,315,0.9,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.9,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,contator_ac,Contator AC,315,0.91,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.91,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,contator_ac,Contator AC,315,0.92,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.92,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,contator_ac,Contator AC,315,0.93,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.93,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,contator_ac,Contator AC,315,0.9400000000000001,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.9400000000000001,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,contator_ac,Contator AC,315,0.9500000000000001,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.9500000000000001,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,contator_ac,Contator AC,315,0.96,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.96,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,contator_ac,Contator AC,315,0.97,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.97,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,contator_ac,Contator AC,315,0.98,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.98,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,contator_ac,Contator AC,315,0.99,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,0.99,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,contator_ac,Contator AC,315,1.0,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_lstm,contator_ac,Contator AC,315,1.0,281,281,1.0,0.9865136948932973,0.9999999999999998
ae_denso,igbt,IGBT,90,0.0,5,281,0.017793594306049824,0.007623705881025664,0.040969848154263966
ae_lstm,igbt,IGBT,90,0.0,8,281,0.028469750889679714,0.014495231644970803,0.055162671747471075
ae_denso,igbt,IGBT,90,0.01,5,281,0.017793594306049824,0.007623705881025664,0.040969848154263966
ae_lstm,igbt,IGBT,90,0.01,8,281,0.028469750889679714,0.014495231644970803,0.055162671747471075
ae_denso,igbt,IGBT,90,0.02,5,281,0.017793594306049824,0.007623705881025664,0.040969848154263966
ae_lstm,igbt,IGBT,90,0.02,8,281,0.028469750889679714,0.014495231644970803,0.055162671747471075
ae_denso,igbt,IGBT,90,0.03,4,281,0.014234875444839857,0.005549220543038051,0.036022883706534156
ae_lstm,igbt,IGBT,90,0.03,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_denso,igbt,IGBT,90,0.04,3,281,0.010676156583629894,0.003637373392162732,0.03091328107169205
ae_lstm,igbt,IGBT,90,0.04,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_denso,igbt,IGBT,90,0.05,3,281,0.010676156583629894,0.003637373392162732,0.03091328107169205
ae_lstm,igbt,IGBT,90,0.05,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_denso,igbt,IGBT,90,0.06,3,281,0.010676156583629894,0.003637373392162732,0.03091328107169205
ae_lstm,igbt,IGBT,90,0.06,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_denso,igbt,IGBT,90,0.07,3,281,0.010676156583629894,0.003637373392162732,0.03091328107169205
ae_lstm,igbt,IGBT,90,0.07,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_denso,igbt,IGBT,90,0.08,3,281,0.010676156583629894,0.003637373392162732,0.03091328107169205
ae_lstm,igbt,IGBT,90,0.08,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_denso,igbt,IGBT,90,0.09,3,281,0.010676156583629894,0.003637373392162732,0.03091328107169205
ae_lstm,igbt,IGBT,90,0.09,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_denso,igbt,IGBT,90,0.1,3,281,0.010676156583629894,0.003637373392162732,0.03091328107169205
ae_lstm,igbt,IGBT,90,0.1,8,281,0.028469750889679714,0.014495231644970803,0.055162671747471075
ae_denso,igbt,IGBT,90,0.11,5,281,0.017793594306049824,0.007623705881025664,0.040969848154263966
ae_lstm,igbt,IGBT,90,0.11,8,281,0.028469750889679714,0.014495231644970803,0.055162671747471075
ae_denso,igbt,IGBT,90,0.12,7,281,0.02491103202846975,0.012118204189761197,0.05051824941696326
ae_lstm,igbt,IGBT,90,0.12,8,281,0.028469750889679714,0.014495231644970803,0.055162671747471075
ae_denso,igbt,IGBT,90,0.13,10,281,0.03558718861209965,0.019443085379248454,0.06425771758462827
ae_lstm,igbt,IGBT,90,0.13,8,281,0.028469750889679714,0.014495231644970803,0.055162671747471075
ae_denso,igbt,IGBT,90,0.14,17,281,0.060498220640569395,0.038111707522557006,0.09473924394134163
ae_lstm,igbt,IGBT,90,0.14,8,281,0.028469750889679714,0.014495231644970803,0.055162671747471075
ae_denso,igbt,IGBT,90,0.15,23,281,0.08185053380782918,0.055158551624166025,0.11982109855403714
ae_lstm,igbt,IGBT,90,0.15,8,281,0.028469750889679714,0.014495231644970803,0.055162671747471075
ae_denso,igbt,IGBT,90,0.16,31,281,0.1103202846975089,0.07881565066436799,0.15233559779957453
ae_lstm,igbt,IGBT,90,0.16,10,281,0.03558718861209965,0.019443085379248454,0.06425771758462827
ae_denso,igbt,IGBT,90,0.17,45,281,0.1601423487544484,0.12189036279625615,0.20756118266773027
ae_lstm,igbt,IGBT,90,0.17,10,281,0.03558718861209965,0.019443085379248454,0.06425771758462827
ae_denso,igbt,IGBT,90,0.18,60,281,0.21352313167259787,0.16964048921593622,0.2651328030338115
ae_lstm,igbt,IGBT,90,0.18,14,281,0.0498220640569395,0.02990678040002624,0.08187982170672015
ae_denso,igbt,IGBT,90,0.19,73,281,0.2597864768683274,0.21199786945714688,0.31405427000692726
ae_lstm,igbt,IGBT,90,0.19,19,281,0.06761565836298933,0.04371089781186638,0.10318295322346713
ae_denso,igbt,IGBT,90,0.2,89,281,0.3167259786476868,0.26511727346829334,0.3732780625672594
ae_lstm,igbt,IGBT,90,0.2,29,281,0.10320284697508897,0.07282153562798219,0.1442868132645255
ae_denso,igbt,IGBT,90,0.21,111,281,0.39501779359430605,0.33964501905541045,0.45322221226592563
ae_lstm,igbt,IGBT,90,0.21,33,281,0.11743772241992882,0.08485555990511567,0.16033858813026167
ae_denso,igbt,IGBT,90,0.22,127,281,0.45195729537366547,0.3948049690114559,0.5104054588813588
