injection_id,model,a,pod
igbt,ae_lstm,0.38,1.0
igbt,ae_lstm,0.4,1.0
igbt,ae_lstm,0.42,1.0
igbt,ae_lstm,0.44,1.0
igbt,ae_lstm,0.46,1.0
igbt,ae_lstm,0.48,1.0
igbt,ae_lstm,0.5,1.0
igbt,ae_lstm,0.52,1.0
igbt,ae_lstm,0.54,1.0
igbt,ae_lstm,0.56,1.0
igbt,ae_lstm,0.58,1.0
igbt,ae_lstm,0.6,1.0
igbt,ae_lstm,0.62,1.0
igbt,ae_lstm,0.64,1.0
igbt,ae_lstm,0.66,1.0
igbt,ae_lstm,0.68,1.0
igbt,ae_lstm,0.7,1.0
igbt,ae_lstm,0.72,1.0
igbt,ae_lstm,0.74,1.0
igbt,ae_lstm,0.76,1.0
igbt,ae_lstm,0.78,1.0
igbt,ae_lstm,0.8,1.0
igbt,ae_lstm,0.82,1.0
igbt,ae_lstm,0.84,1.0
igbt,ae_lstm,0.86,1.0
igbt,ae_lstm,0.88,1.0
igbt,ae_lstm,0.9,1.0
igbt,ae_lstm,0.92,1.0
igbt,ae_lstm,0.94,1.0
igbt,ae_lstm,0.96,1.0
igbt,ae_lstm,0.98,1.0
igbt,ae_lstm,1.0,1.0
sensor_realimentacao,ae_denso,0.02,0.017793594306049824
sensor_realimentacao,ae_denso,0.04,0.017793594306049824
sensor_realimentacao,ae_denso,0.06,0.017793594306049824
sensor_realimentacao,ae_denso,0.08,0.017793594306049824
sensor_realimentacao,ae_denso,0.1,0.021352313167259787
sensor_realimentacao,ae_denso,0.12,0.021352313167259787
sensor_realimentacao,ae_denso,0.14,0.021352313167259787
sensor_realimentacao,ae_denso,0.16,0.021352313167259787
sensor_realimentacao,ae_denso,0.18,0.021352313167259787
sensor_realimentacao,ae_denso,0.2,0.021352313167259787
sensor_realimentacao,ae_denso,0.22,0.021352313167259787
sensor_realimentacao,ae_denso,0.24,0.021352313167259787
sensor_realimentacao,ae_denso,0.26,0.021352313167259787
sensor_realimentacao,ae_denso,0.28,0.02491103202846975
sensor_realimentacao,ae_denso,0.3,0.02491103202846975
sensor_realimentacao,ae_denso,0.32,0.02491103202846975
sensor_realimentacao,ae_denso,0.34,0.02491103202846975
sensor_realimentacao,ae_denso,0.36,0.03202846975088968
sensor_realimentacao,ae_denso,0.38,0.03202846975088968
sensor_realimentacao,ae_denso,0.4,0.03202846975088968
sensor_realimentacao,ae_denso,0.42,0.03558718861209965
sensor_realimentacao,ae_denso,0.44,0.03914590747330961
sensor_realimentacao,ae_denso,0.46,0.03914590747330961
sensor_realimentacao,ae_denso,0.48,0.0498220640569395
sensor_realimentacao,ae_denso,0.5,0.06405693950177936
sensor_realimentacao,ae_denso,0.52,0.06761565836298933
sensor_realimentacao,ae_denso,0.54,0.08185053380782918
sensor_realimentacao,ae_denso,0.56,0.099644128113879
sensor_realimentacao,ae_denso,0.58,0.1387900355871886
sensor_realimentacao,ae_denso,0.6,0.17437722419928825
sensor_realimentacao,ae_denso,0.62,0.21708185053380782
sensor_realimentacao,ae_denso,0.64,0.26334519572953735
sensor_realimentacao,ae_denso,0.66,0.29537366548042704
sensor_realimentacao,ae_denso,0.68,0.33451957295373663
sensor_realimentacao,ae_denso,0.7,0.35587188612099646
sensor_realimentacao,ae_denso,0.72,0.38434163701067614
sensor_realimentacao,ae_denso,0.74,0.4128113879003559
sensor_realimentacao,ae_denso,0.76,0.4697508896797153
sensor_realimentacao,ae_denso,0.78,0.5088967971530249
sensor_realimentacao,ae_denso,0.8,0.5765124555160143
sensor_realimentacao,ae_denso,0.82,0.6192170818505338
sensor_realimentacao,ae_denso,0.84,0.6512455516014235
sensor_realimentacao,ae_denso,0.86,0.697508896797153
sensor_realimentacao,ae_denso,0.88,0.7473309608540926
sensor_realimentacao,ae_denso,0.9,0.800711743772242
sensor_realimentacao,ae_denso,0.92,0.8647686832740213
sensor_realimentacao,ae_denso,0.94,0.8754448398576512
sensor_realimentacao,ae_denso,0.96,0.9145907473309609
sensor_realimentacao,ae_denso,0.98,0.9145907473309609
sensor_realimentacao,ae_denso,1.0,0.9145907473309609
sensor_realimentacao,ae_lstm,0.02,0.0071174377224199285
sensor_realimentacao,ae_lstm,0.04,0.0071174377224199285
sensor_realimentacao,ae_lstm,0.06,0.0071174377224199285
sensor_realimentacao,ae_lstm,0.08,0.0071174377224199285
sensor_realimentacao,ae_lstm,0.1,0.0071174377224199285
sensor_realimentacao,ae_lstm,0.12,0.0071174377224199285
sensor_realimentacao,ae_lstm,0.14,0.010676156583629894
sensor_realimentacao,ae_lstm,0.16,0.010676156583629894
sensor_realimentacao,ae_lstm,0.18,0.010676156583629894
sensor_realimentacao,ae_lstm,0.2,0.010676156583629894
sensor_realimentacao,ae_lstm,0.22,0.014234875444839857
sensor_realimentacao,ae_lstm,0.24,0.017793594306049824
sensor_realimentacao,ae_lstm,0.26,0.017793594306049824
sensor_realimentacao,ae_lstm,0.28,0.017793594306049824
sensor_realimentacao,ae_lstm,0.3,0.017793594306049824
sensor_realimentacao,ae_lstm,0.32,0.017793594306049824
sensor_realimentacao,ae_lstm,0.34,0.017793594306049824
sensor_realimentacao,ae_lstm,0.36,0.017793594306049824
sensor_realimentacao,ae_lstm,0.38,0.017793594306049824
sensor_realimentacao,ae_lstm,0.4,0.021352313167259787
sensor_realimentacao,ae_lstm,0.42,0.021352313167259787
sensor_realimentacao,ae_lstm,0.44,0.021352313167259787
sensor_realimentacao,ae_lstm,0.46,0.02491103202846975
sensor_realimentacao,ae_lstm,0.48,0.02491103202846975
sensor_realimentacao,ae_lstm,0.5,0.02491103202846975
sensor_realimentacao,ae_lstm,0.52,0.02491103202846975
sensor_realimentacao,ae_lstm,0.54,0.028469750889679714
sensor_realimentacao,ae_lstm,0.56,0.028469750889679714
sensor_realimentacao,ae_lstm,0.58,0.028469750889679714
sensor_realimentacao,ae_lstm,0.6,0.028469750889679714
sensor_realimentacao,ae_lstm,0.62,0.028469750889679714
sensor_realimentacao,ae_lstm,0.64,0.028469750889679714
sensor_realimentacao,ae_lstm,0.66,0.028469750889679714
sensor_realimentacao,ae_lstm,0.68,0.03202846975088968
sensor_realimentacao,ae_lstm,0.7,0.03202846975088968
sensor_realimentacao,ae_lstm,0.72,0.03202846975088968
sensor_realimentacao,ae_lstm,0.74,0.03558718861209965
sensor_realimentacao,ae_lstm,0.76,0.03558718861209965
sensor_realimentacao,ae_lstm,0.78,0.03558718861209965
sensor_realimentacao,ae_lstm,0.8,0.03914590747330961
sensor_realimentacao,ae_lstm,0.82,0.042704626334519574
